"","MDCCode","DRGCode","DRGName","PDX","PPROC","age","ADX","LOS","CC","statusOut","APROC","bornWt"
"11","MDCB","BB15","创伤性伴开颅术，不伴合并症与伴随病","(S06.101|S06.807|S02.001|S06.221|S06.021|S06.805|S06.809|S04.401|S06.233|S02.102|S06.231| S06.801|S06.301|S06.201|S06.603|S02.103|S06.342|F07.202|S02.109|S06.202|S06.311|S06.302|S06.382|S02.902|S06.041|S02.110|S06.502|S02.003|S06.341|S06.804|S06.501|S06.808|S02.005|S06.903|S06.051|S06.321|F07.203|S02.004|S06.802|S06.402|S06.806|S06.281|S06.331|S06.901|S06.001|S06.282|S02.101|S06.381|S02.002|S06.211|S06.332|S06.902|S06.232|S06.031|S06.011|S06.401|S02.108|S06.601|S06.803)","(01.25003|01.24006 |01.39008|02.05004|02.02002|01.41002|01.32002|01.42001|02.14002|01.24007|01.25004|01.53003|01.39011|01.32005|02.14001|02.05002|02.01001|07.79001|02.13001|02.07001|01.39009|01.32004|01.39002|02.94001|02.04003|02.12001|02.01003|01.39007|01.31002|01.39001|01.39003|02.02001|01.52001|01.21001|01.39014|01.31004|02.12007|01.24017|01.23001|02.94002|01.24005|01.39012|02.03001|01.24011|01.25002|02.06003|01.51001|02.2007|02.05005|01.3901|01.39004|01.32003|02.11001|02.12009|04.41003|02.12005|02.02003|02.01002|01.39013|01.53001|02.2005|01.31003|02.04001| 01.24013|02.12006)","[NULL]","[NULL]","[NULL]","(noCC)","[NULL]","[NULL]","[NULL]"
"12","MDCB","BB21","其他开颅术，伴重要合并症与伴随病","[NULL]","(39.51004|01.14001|07.72002|01.39001|01.59028|01.39008|39.72002|01.52001|01.59032|01.59012|39.52003|02.94004|07.61002|01.59006|01.32002|01.31004|07.63001|02.12007|07.72004|01.24017|07.54001|01.23001|02.94002|01.24005|01.39011|07.62003|01.59014|01.31007|01.51004|38.61003|01.59034|01.51002|02.05002|07.72003|01.24014|07.65002|01.25003|07.62006|01.24006|01.39003|02.02001|02.05004|02.02002|02.91001|01.21001|01.59009|01.41002|07.53002|01.39014|39.53002|01.59002|01.42001|01.42002|02.14002|01.24007|38.32001|01.25004|01.53003|01.6002|01.39012|01.32005|07.51001|02.03001|01.59025|02.14001|01.24011|39.51003|01.25002|02.01001|01.59013|02.06003|07.79001|01.51001|07.53001|07.52001|02.07001|39.53003|39.53001|02.96001|02.05005|01.3901|39.74001|01.59033|01.39004|01.32003|02.94001|02.11001|02.04003|29.92001|02.12001|01.59004|04.41003|01.59019|02.12005|01.6001|02.99001|01.39007|01.31002|07.65001|02.95001|01.39013|38.31001|01.15001|01.53001|07.69001|07.17001|01.59016|02.12006|01.5901|01.5902|01.59005|38.81002|02.95002|02.13001|02.2007|01.12001|04.01001|02.94003|07.61001|01.39009|07.62002|01.32004|01.59008|01.39002|01.31005|01.59003|01.59035|07.64001|02.12009|01.59021|04.01004|02.01003|01.59029|01.24009|01.59001|01.41003|02.02003|01.59007|01.41001|39.52002|07.71001|01.59022|""02.04001|38.61002|01.24013|01.59017|02.2005|01.31003|01.5903)","[NULL]","[NULL]","[NULL]","(MCC)","[NULL]","[NULL]","[NULL]"
"13","MDCB","BB25","其他开颅术，不伴合并症与伴随病","[NULL]","(39.51004|01.14001|07.72002|01.39001|01.59028|01.39008|39.72002|01.52001|01.59032|01.59012|39.52003|02.94004|07.61002|01.59006|01.32002|01.31004|07.63001|02.12007|07.72004|01.24017|07.54001|01.23001|02.94002|01.24005|01.39011|07.62003|01.59014|01.31007|01.51004|38.61003|01.59034|01.51002|02.05002|07.72003|01.24014|07.65002|01.25003|07.62006|01.24006|01.39003|02.02001|02.05004|02.02002|02.91001|01.21001|01.59009|01.41002|07.53002|01.39014|39.53002|01.59002|01.42001|01.42002|02.14002|01.24007|38.32001|01.25004|01.53003|01.6002|01.39012|01.32005|07.51001|02.03001|01.59025|02.14001|01.24011|39.51003|01.25002|02.01001|01.59013|02.06003|07.79001|01.51001|07.53001|07.52001|02.07001|39.53003|39.53001|02.96001|02.05005|01.3901|39.74001|01.59033|01.39004|01.32003|02.94001|02.11001|02.04003|29.92001|02.12001|01.59004|04.41003|01.59019|02.12005|01.6001|02.99001|01.39007|01.31002|07.65001|02.95001|01.39013|38.31001|01.15001|01.53001|07.69001|07.17001|01.59016|02.12006|01.5901|01.5902|01.59005|38.81002|02.95002|02.13001|02.2007|01.12001|04.01001|02.94003|07.61001|01.39009|07.62002|01.32004|01.59008|01.39002|01.31005|01.59003|01.59035|07.64001|02.12009|01.59021|04.01004|02.01003|01.59029|01.24009|01.59001|01.41003|02.02003|01.59007|01.41001|39.52002|07.71001|01.59022|""02.04001|38.61002|01.24013|01.59017|02.2005|01.31003|01.5903)","[NULL]","[NULL]","[NULL]","(noCC)","[NULL]","[NULL]","[NULL]"
"14","MDCB","BC19","伴出血诊断的颅内血管手术","(I61.303|I61.109|I60.802|I61.105|I61.401|I61.002|I61.001|I61.107|I62.901|I61.005|I61.103|I61.302|I61.301|I62.002|I60.202|I61.102|I61.104|I60.001|I61.004|I60.301|I61.901|I60.302|I60.901|I62.101|I61.003|I61.007|I61.902|I61.106|I61.304|I61.904|I60.401|I61.903|I61.101|I60.201|I61.501|I62.001|I61.108|I60.902|I61.006|I62.102|I60.101)","(39.51004|38.81003|39.51003|39.28001|38.61002|39.72002|38.61003|38.81002|38.31001)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"15","MDCB","BC29","脑室分流及翻修手术","[NULL]","(02.34002|02.32001|02.2006|02.2004|02.42001|02.32003|02.41001|02.39004|02.2001|02.42002|02.34001|02.31001|02.43001|02.35001|02.31002|02.41003|02.42003|02.42004|02.32002|02.33001)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"16","MDCB","BD13","脊髓手术，伴合并症与伴随病","[NULL]","(03.4003|03.99003|80.59003|81.31004|81.07002|80.51035|80.51032|03.32002|84.67001|80.5103|84.68002|03.97001|80.51031|03.4002|81.01008|03.79001|03.09015|03.6007|80.51008)","[NULL]","[NULL]","[NULL]","(CC)","[NULL]","[NULL]","[NULL]"
"17","MDCB","BD15","脊髓手术，不伴合并症与伴随病","[NULL]","(03.4003|03.99003|80.59003|81.31004|81.07002|80.51035|80.51032|03.32002|84.67001|80.5103|84.68002|03.97001|80.51031|03.4002|81.01008|03.79001|03.09015|03.6007|80.51008)","[NULL]","[NULL]","[NULL]","(noCC)","[NULL]","[NULL]","[NULL]"
"18","MDCB","BE19","颈动脉及颅内血管内手术","[NULL]","(39.59006|00.62005|39.50008|00.64011|00.65006|39.53005|00.61008|00.61009|39.28001|00.65008|00.61006|00.64009|02.93002|00.61011|00.63004|38.82004|00.55006|00.63003|00.64007|01.22001|86.95002|38.32001|02.93003|39.50005|00.6101|38.82009|00.64008|00.65007|00.10001|00.65009|00.62004|00.62003|00.61007|00.6401)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"19","MDCB","BE23","颅外脑、椎动脉血管手术，伴合并症与伴随病","[NULL]","(38.02002|21.06001|38.81004|38.12003|39.22006|39.8002|39.22003|38.02001|38.42001|39.22005|38.82009|39.22008|38.82003|39.31005|39.22014|39.98003|39.8001|39.90013|38.61005|38.62005|38.42002|38.32002|39.22012|38.82008|39.22004|38.82007|39.51006|39.22002)","[NULL]","[NULL]","[NULL]","(CC)","[NULL]","[NULL]","[NULL]"
"20","MDCB","BE25","颅外脑、椎动脉血管手术，不伴合并症与伴随病                               ","[NULL]","(38.02002|21.06001|38.81004|38.12003|39.22006|39.8002|39.22003|38.02001|38.42001|39.22005|38.82009|39.22008|38.82003|39.31005|39.22014|39.98003|39.8001|39.90013|38.61005|38.62005|38.42002|38.32002|39.22012|38.82008|39.22004|38.82007|39.51006|39.22002)","[NULL]","[NULL]","[NULL]","(noCC)","[NULL]","[NULL]","[NULL]"
"21","MDCB","BF19","神经调制手术","(T85.101|T85.102|T85.103|Z46.201|T85.104)","(01.59036)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"22","MDCB","BJ11","神经系统其他手术，伴重要合并症与伴随病","[NULL]","(27.99007|04.6008|05.0001|04.49013|82.54001|04.74027|04.74002|83.19021|37.76001|05.11001|83.85004|27.69004|04.03012|04.49017|04.74013|05.29002|83.77001|07.82003|04.6010|83.83001|04.6011|04.49006|82.72001|04.74021|86.71008|04.93001|04.2007|04.3013|04.49024|04.3015|83.13006|04.03011|86.06004|37.72001|04.74019|83.82003|83.19003|83.88001|04.07013|86.74028|04.75002|86.66001|86.74027|37.75002|27.69001|04.74016|82.55001|83.19012|82.85002|82.59001|04.12001|86.97002|92.31001|04.07023|04.43001|39.92001|38.81003|07.14001|08.52001|04.49002|92.32002|86.59006|83.14002|86.62001|83.19017|04.49026|04.07027|82.86001|82.57001|82.82001|04.3007|83.88012|83.85003|04.49012|04.44002|04.5007|01.25007|04.73001|86.67002|83.76005|82.89001|04.07003|04.74012|04.04014|04.81003|86.94002|04.5001|83.79001|86.95001|27.99011|04.2002|04.04006|04.74011|86.4004|39.28002|04.74009|86.81002|04.6009|77.69032|83.87009|82.72002|04.3014|04.04019|83.92001|39.72001|83.87007|04.5011|04.74029|04.76003|86.06005|04.2010|38.21001|82.51001|04.91001|82.71004|83.19001|05.23001|86.3047|03.90001|83.85008|83.19019|04.74001|83.13003|04.49007|04.04023|04.6001|82.85001|99.10001|04.04011|83.87005|04.42005|04.3001|04.04007|04.5005|83.14006|01.02001|04.04022|04.07002|86.75009|07.84001|04.3008|86.94001|86.93002|04.07022|04.74025|04.04004|27.69006|86.62002|00.01002|54.95001|04.7403|04.75001|86.75005|01.01001|05.11002|83.93001|04.04018|82.53001|04.02001|82.52001|05.0003|04.74018|86.65001|83.19006|04.05001|83.76002|04.2001|79.89007|04.76002|04.43004|83.85007|04.2009|82.56004|04.3012|04.75003|83.77003|04.5002|83.75001|01.11001|04.42008|83.89001|86.04011|29.59001|83.75003|92.27002|04.03007|86.72001|82.79001|04.49019|92.29001|78.59022|82.83001|04.03009|83.76003|83.88003|04.49011|27.99001|86.74032|83.82005|86.75001|04.49025|80.43001|07.13001|04.4903|27.62002|04.49032|07.84002|04.04021|38.82005|01.09004|04.03003|04.74008|83.85009|08.52002|82.86013|04.3002|07.81009|83.81002|92.31002|86.98001|86.61001|83.8501|04.04025|83.85002|92.32004|04.0301|83.1902|86.6901|86.71003|92.27008|82.56003|83.73002|82.81001|01.01002|86.93005|92.32003|83.13001|04.04002|81.72004|03.91002|83.14004|38.82002|83.85005|83.74001|77.69044|86.63001|04.3006|08.52003|05.22001|04.72001|82.69003|82.71003|37.78001|83.71001|83.14005|82.8601|04.03002|04.6006|83.81001|00.21002|04.04012|07.83001|04.07008|83.19008|04.04013|04.4201|83.8801|04.42001|99.10005|04.49018|04.49005|04.2008|82.86009|01.09003|83.19009|04.07028|04.6002|27.69008|04.5009|04.07015|92.30001|86.74031|82.86011|82.56005|04.2004|44.01001|37.77002|04.49009|04.74026|04.07007|82.61002|79.89006|83.87001|38.82006|83.85006|04.3009|82.84001|86.3072|05.21001|08.59004|04.07014|04.04024|04.71001|83.13004|04.49031|54.95004|04.42006|80.09001|04.42009|86.71001|86.05004|04.03004|04.04003|86.98002|92.28001|27.62001|04.92003|83.87003|86.97001|04.04009|07.81006|04.01003|04.04005|82.71002|08.51001|04.92002|27.69003|86.65002|83.19005|04.07026|83.88005|04.42004|82.58001|07.15001|83.21001|04.12002|99.10003|04.3016|04.42007|83.79002|82.56001|82.86006|79.89002|83.89002|83.19018|83.79003|08.59002|37.73001|07.83002|05.23002|86.74026|04.07005|04.6005|04.04001|86.28012|92.32001|39.59013|01.09002|83.82002|82.86012|83.82001|05.81001|27.69005|05.24001|86.74029|05.32001|04.76004|83.19013|27.69007|05.81002|86.22011|83.79004|04.2003|86.69021|37.74001|04.3004|83.92002|83.19007|04.92004|82.69002|92.33001|04.6007|04.03015|83.1901|86.7403|83.85001|77.69039|08.59005|07.82002|82.71001|04.07009|08.59001|79.89003|82.56002|8.3.72001|04.0402|04.03005|86.71009|07.81005|86.7501|04.0701)","[NULL]","[NULL]","[NULL]","(MCC)","[NULL]","[NULL]","[NULL]"
"23","MDCB","BJ13","神经系统其他手术，伴合并症与伴随病","[NULL]","(27.99007|04.6008|05.0001|04.49013|82.54001|04.74027|04.74002|83.19021|37.76001|05.11001|83.85004|27.69004|04.03012|04.49017|04.74013|05.29002|83.77001|07.82003|04.6010|83.83001|04.6011|04.49006|82.72001|04.74021|86.71008|04.93001|04.2007|04.3013|04.49024|04.3015|83.13006|04.03011|86.06004|37.72001|04.74019|83.82003|83.19003|83.88001|04.07013|86.74028|04.75002|86.66001|86.74027|37.75002|27.69001|04.74016|82.55001|83.19012|82.85002|82.59001|04.12001|86.97002|92.31001|04.07023|04.43001|39.92001|38.81003|07.14001|08.52001|04.49002|92.32002|86.59006|83.14002|86.62001|83.19017|04.49026|04.07027|82.86001|82.57001|82.82001|04.3007|83.88012|83.85003|04.49012|04.44002|04.5007|01.25007|04.73001|86.67002|83.76005|82.89001|04.07003|04.74012|04.04014|04.81003|86.94002|04.5001|83.79001|86.95001|27.99011|04.2002|04.04006|04.74011|86.4004|39.28002|04.74009|86.81002|04.6009|77.69032|83.87009|82.72002|04.3014|04.04019|83.92001|39.72001|83.87007|04.5011|04.74029|04.76003|86.06005|04.2010|38.21001|82.51001|04.91001|82.71004|83.19001|05.23001|86.3047|03.90001|83.85008|83.19019|04.74001|83.13003|04.49007|04.04023|04.6001|82.85001|99.10001|04.04011|83.87005|04.42005|04.3001|04.04007|04.5005|83.14006|01.02001|04.04022|04.07002|86.75009|07.84001|04.3008|86.94001|86.93002|04.07022|04.74025|04.04004|27.69006|86.62002|00.01002|54.95001|04.7403|04.75001|86.75005|01.01001|05.11002|83.93001|04.04018|82.53001|04.02001|82.52001|05.0003|04.74018|86.65001|83.19006|04.05001|83.76002|04.2001|79.89007|04.76002|04.43004|83.85007|04.2009|82.56004|04.3012|04.75003|83.77003|04.5002|83.75001|01.11001|04.42008|83.89001|86.04011|29.59001|83.75003|92.27002|04.03007|86.72001|82.79001|04.49019|92.29001|78.59022|82.83001|04.03009|83.76003|83.88003|04.49011|27.99001|86.74032|83.82005|86.75001|04.49025|80.43001|07.13001|04.4903|27.62002|04.49032|07.84002|04.04021|38.82005|01.09004|04.03003|04.74008|83.85009|08.52002|82.86013|04.3002|07.81009|83.81002|92.31002|86.98001|86.61001|83.8501|04.04025|83.85002|92.32004|04.0301|83.1902|86.6901|86.71003|92.27008|82.56003|83.73002|82.81001|01.01002|86.93005|92.32003|83.13001|04.04002|81.72004|03.91002|83.14004|38.82002|83.85005|83.74001|77.69044|86.63001|04.3006|08.52003|05.22001|04.72001|82.69003|82.71003|37.78001|83.71001|83.14005|82.8601|04.03002|04.6006|83.81001|00.21002|04.04012|07.83001|04.07008|83.19008|04.04013|04.4201|83.8801|04.42001|99.10005|04.49018|04.49005|04.2008|82.86009|01.09003|83.19009|04.07028|04.6002|27.69008|04.5009|04.07015|92.30001|86.74031|82.86011|82.56005|04.2004|44.01001|37.77002|04.49009|04.74026|04.07007|82.61002|79.89006|83.87001|38.82006|83.85006|04.3009|82.84001|86.3072|05.21001|08.59004|04.07014|04.04024|04.71001|83.13004|04.49031|54.95004|04.42006|80.09001|04.42009|86.71001|86.05004|04.03004|04.04003|86.98002|92.28001|27.62001|04.92003|83.87003|86.97001|04.04009|07.81006|04.01003|04.04005|82.71002|08.51001|04.92002|27.69003|86.65002|83.19005|04.07026|83.88005|04.42004|82.58001|07.15001|83.21001|04.12002|99.10003|04.3016|04.42007|83.79002|82.56001|82.86006|79.89002|83.89002|83.19018|83.79003|08.59002|37.73001|07.83002|05.23002|86.74026|04.07005|04.6005|04.04001|86.28012|92.32001|39.59013|01.09002|83.82002|82.86012|83.82001|05.81001|27.69005|05.24001|86.74029|05.32001|04.76004|83.19013|27.69007|05.81002|86.22011|83.79004|04.2003|86.69021|37.74001|04.3004|83.92002|83.19007|04.92004|82.69002|92.33001|04.6007|04.03015|83.1901|86.7403|83.85001|77.69039|08.59005|07.82002|82.71001|04.07009|08.59001|79.89003|82.56002|8.3.72001|04.0402|04.03005|86.71009|07.81005|86.7501|04.0701)","[NULL]","[NULL]","[NULL]","(CC)","[NULL]","[NULL]","[NULL]"
"24","MDCB","BJ15","神经系统其他手术，不伴合并症与伴随病 ","[NULL]","(27.99007|04.6008|05.0001|04.49013|82.54001|04.74027|04.74002|83.19021|37.76001|05.11001|83.85004|27.69004|04.03012|04.49017|04.74013|05.29002|83.77001|07.82003|04.6010|83.83001|04.6011|04.49006|82.72001|04.74021|86.71008|04.93001|04.2007|04.3013|04.49024|04.3015|83.13006|04.03011|86.06004|37.72001|04.74019|83.82003|83.19003|83.88001|04.07013|86.74028|04.75002|86.66001|86.74027|37.75002|27.69001|04.74016|82.55001|83.19012|82.85002|82.59001|04.12001|86.97002|92.31001|04.07023|04.43001|39.92001|38.81003|07.14001|08.52001|04.49002|92.32002|86.59006|83.14002|86.62001|83.19017|04.49026|04.07027|82.86001|82.57001|82.82001|04.3007|83.88012|83.85003|04.49012|04.44002|04.5007|01.25007|04.73001|86.67002|83.76005|82.89001|04.07003|04.74012|04.04014|04.81003|86.94002|04.5001|83.79001|86.95001|27.99011|04.2002|04.04006|04.74011|86.4004|39.28002|04.74009|86.81002|04.6009|77.69032|83.87009|82.72002|04.3014|04.04019|83.92001|39.72001|83.87007|04.5011|04.74029|04.76003|86.06005|04.2010|38.21001|82.51001|04.91001|82.71004|83.19001|05.23001|86.3047|03.90001|83.85008|83.19019|04.74001|83.13003|04.49007|04.04023|04.6001|82.85001|99.10001|04.04011|83.87005|04.42005|04.3001|04.04007|04.5005|83.14006|01.02001|04.04022|04.07002|86.75009|07.84001|04.3008|86.94001|86.93002|04.07022|04.74025|04.04004|27.69006|86.62002|00.01002|54.95001|04.7403|04.75001|86.75005|01.01001|05.11002|83.93001|04.04018|82.53001|04.02001|82.52001|05.0003|04.74018|86.65001|83.19006|04.05001|83.76002|04.2001|79.89007|04.76002|04.43004|83.85007|04.2009|82.56004|04.3012|04.75003|83.77003|04.5002|83.75001|01.11001|04.42008|83.89001|86.04011|29.59001|83.75003|92.27002|04.03007|86.72001|82.79001|04.49019|92.29001|78.59022|82.83001|04.03009|83.76003|83.88003|04.49011|27.99001|86.74032|83.82005|86.75001|04.49025|80.43001|07.13001|04.4903|27.62002|04.49032|07.84002|04.04021|38.82005|01.09004|04.03003|04.74008|83.85009|08.52002|82.86013|04.3002|07.81009|83.81002|92.31002|86.98001|86.61001|83.8501|04.04025|83.85002|92.32004|04.0301|83.1902|86.6901|86.71003|92.27008|82.56003|83.73002|82.81001|01.01002|86.93005|92.32003|83.13001|04.04002|81.72004|03.91002|83.14004|38.82002|83.85005|83.74001|77.69044|86.63001|04.3006|08.52003|05.22001|04.72001|82.69003|82.71003|37.78001|83.71001|83.14005|82.8601|04.03002|04.6006|83.81001|00.21002|04.04012|07.83001|04.07008|83.19008|04.04013|04.4201|83.8801|04.42001|99.10005|04.49018|04.49005|04.2008|82.86009|01.09003|83.19009|04.07028|04.6002|27.69008|04.5009|04.07015|92.30001|86.74031|82.86011|82.56005|04.2004|44.01001|37.77002|04.49009|04.74026|04.07007|82.61002|79.89006|83.87001|38.82006|83.85006|04.3009|82.84001|86.3072|05.21001|08.59004|04.07014|04.04024|04.71001|83.13004|04.49031|54.95004|04.42006|80.09001|04.42009|86.71001|86.05004|04.03004|04.04003|86.98002|92.28001|27.62001|04.92003|83.87003|86.97001|04.04009|07.81006|04.01003|04.04005|82.71002|08.51001|04.92002|27.69003|86.65002|83.19005|04.07026|83.88005|04.42004|82.58001|07.15001|83.21001|04.12002|99.10003|04.3016|04.42007|83.79002|82.56001|82.86006|79.89002|83.89002|83.19018|83.79003|08.59002|37.73001|07.83002|05.23002|86.74026|04.07005|04.6005|04.04001|86.28012|92.32001|39.59013|01.09002|83.82002|82.86012|83.82001|05.81001|27.69005|05.24001|86.74029|05.32001|04.76004|83.19013|27.69007|05.81002|86.22011|83.79004|04.2003|86.69021|37.74001|04.3004|83.92002|83.19007|04.92004|82.69002|92.33001|04.6007|04.03015|83.1901|86.7403|83.85001|77.69039|08.59005|07.82002|82.71001|04.07009|08.59001|79.89003|82.56002|8.3.72001|04.0402|04.03005|86.71009|07.81005|86.7501|04.0701)","[NULL]","[NULL]","[NULL]","(noCC)","[NULL]","[NULL]","[NULL]"
"25","MDCB","BK19","神经系统诊断伴呼吸机支持","[NULL]","(31.1005|96.55001|96.04001)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"26","MDCB","BL11","视频和无线脑电图监测，伴重要合并症与伴随病","[NULL]","(89.19001)","[NULL]","[NULL]","[NULL]","(MCC)","[NULL]","[NULL]","[NULL]"
"27","MDCB","BL13","视频和无线脑电图监测，伴合并症与伴随病","[NULL]","(89.19001)","[NULL]","[NULL]","[NULL]","(CC)","[NULL]","[NULL]","[NULL]"
"28","MDCB","BL15","视频和无线脑电图监测，不伴合并症与伴随病                                 ","[NULL]","(89.19001)","[NULL]","[NULL]","[NULL]","(noCC)","[NULL]","[NULL]","[NULL]"
"29","MDCB","BQ19","脑血管影像检查","[NULL]","(88.41005|88.41002|88.41001|88.41003)","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]","[NULL]"
"30","MDCB","BR11","颅内出血性疾病，伴重要合并症与伴随病","(I67.106|I67.108|I61.303|I61.109|I69.001|I62.101|I67.104|I61.003|I61.007|I67.105|I61.001|I61.106|I61.304|I61.904|I60.401|I67.107|I61.302|I61.101|I60.201|I67.103|I60.803|I61.501|I60.202|I62.001|I61.108|I60.902|I67.101|I61.004|I60.301|I60.101|I60.804|I60.302|I60.901|I60.802|I61.105|I67.109|I61.401|I61.002|I61.902|I69.201|I61.107|I62.901|I61.005|I61.103|I61.903|I67.102|I61.301|I62.002|I67.001|I62.003|I69.101|I60.501|I61.102|I61.104|I60.001|I61.006|I62.102|I67.110|I61.901)","[NULL]","[NULL]","[NULL]","[NULL]","(MCC)","[NULL]","[NULL]","[NULL]"
"31","MDCB","BR15","颅内出血性疾病，不伴合并症与伴随病","(I67.106|I67.108|I61.303|I61.109|I69.001|I62.101|I67.104|I61.003|I61.007|I67.105|I61.001|I61.106|I61.304|I61.904|I60.401|I67.107|I61.302|I61.101|I60.201|I67.103|I60.803|I61.501|I60.202|I62.001|I61.108|I60.902|I67.101|I61.004|I60.301|I60.101|I60.804|I60.302|I60.901|I60.802|I61.105|I67.109|I61.401|I61.002|I61.902|I69.201|I61.107|I62.901|I61.005|I61.103|I61.903|I67.102|I61.301|I62.002|I67.001|I62.003|I69.101|I60.501|I61.102|I61.104|I60.001|I61.006|I62.102|I67.110|I61.901)","[NULL]","[NULL]","[NULL]","[NULL]","(noCC)","[NULL]","[NULL]","[NULL]"
"32","MDCB","BR21","脑缺血性疾病，伴重要合并症与伴随病","(G45.401|G45.102|I63.202|G45.101|I66.904|I65.204|I63.908|I63.909|I65.801|I66.201|I64xx04|I65.206|I67.802|I63.301|I66.801|I66.203|I64xx03|I63.901|I63.902|I65.002|I63.401|I67.202|I66.003|I65.101|G45.902|I63.101|I67.601|I66.306|I63.502|I65.202|I67.801|I66.002|I66.102|I64xx02|I67.204|G08xx09|I70.804|I66.403|I67.904|G08xx13|I66.905|I67.906|I63.501|I67.901|G45.801|G45.802|I63.201|I63.001|I66.301|I64xx01|I63.302|I63.904|I65.102|I66.204|I66.202|I66.104|I65.208|I66.101|G45.901|G45.201|I65.211|I65.001|I65.103|C45.002|I66.901|I66.305|I66.903|I65.205|I67.201|I63.905|I65.209|I66.004|I67.803|I66.105|I66.803|I63.204|I63.503|G45.001|I65.203|I67.903|I67.804|I66.402|I66.001|I66.103|I67.401|I63.402|I65.003|I63.906|G45.004|G45.003|I63.601|I67.805|I66.205|I66.302|I66.804|I63.903|I67.203|I69.301|I66.401|I66.802|I65.004|I63.907|I67.902|I63.203|I64xx04)","[NULL]","[NULL]","[NULL]","[NULL]","(MCC)","[NULL]","[NULL]","[NULL]"
